"UF";"Município";"Ano";"Transferência";"Valor Consolidado";"Código IBGE";"Código SIAFI"
"CE";"Aracoiaba";"2023";"AJUSTE FUNDEB - ICME";"-R$1.260,05";"2301208";"1323"
"CE";"Aracoiaba";"2023";"AJUSTE FUNDEB - IPIE";"-R$4,04";"2301208";"1323"
"CE";"Aracoiaba";"2023";"AJUSTE FUNDEB - IPVA";"-R$202,67";"2301208";"1323"
"CE";"Aracoiaba";"2023";"AJUSTE FUNDEB - ITCMD";"-R$8,73";"2301208";"1323"
"CE";"Aracoiaba";"2023";"AJUSTE FUNDEB - ITR";"-R$0,13";"2301208";"1323"
"CE";"Aracoiaba";"2023";"FUNDEB - COUN VAAF";"R$8.663.877,43";"2301208";"1323"
"CE";"Aracoiaba";"2023";"FUNDEB - COUN VAAT";"R$13.279.431,06";"2301208";"1323"
"CE";"Aracoiaba";"2023";"FUNDEB - FPE";"R$6.932.613,45";"2301208";"1323"
"CE";"Aracoiaba";"2023";"FUNDEB - FPM";"R$5.117.514,90";"2301208";"1323"
"CE";"Aracoiaba";"2023";"FUNDEB - ICMS";"R$10.655.046,93";"2301208";"1323"
"CE";"Aracoiaba";"2023";"FUNDEB - IPI-EXP";"R$33.696,62";"2301208";"1323"
"CE";"Aracoiaba";"2023";"FUNDEB - IPVA";"R$1.139.004,05";"2301208";"1323"
"CE";"Aracoiaba";"2023";"FUNDEB - ITCMD";"R$68.162,02";"2301208";"1323"
"CE";"Aracoiaba";"2023";"FUNDEB - ITR";"R$2.086,11";"2301208";"1323"
"CE";"Ararendá";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAF";"R$224.429,90";"2301257";"989"
"CE";"Ararendá";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAT";"-R$6.636,99";"2301257";"989"
"CE";"Ararendá";"2023";"AJUSTE FUNDEB - FPE";"-R$468,16";"2301257";"989"
"CE";"Ararendá";"2023";"AJUSTE FUNDEB - FPM";"-R$344,56";"2301257";"989"
"CE";"Ararendá";"2023";"AJUSTE FUNDEB - ICME";"-R$647,60";"2301257";"989"
"CE";"Ararendá";"2023";"AJUSTE FUNDEB - IPIE";"-R$2,03";"2301257";"989"
"CE";"Ararendá";"2023";"AJUSTE FUNDEB - IPVA";"-R$104,17";"2301257";"989"
